                                                                                                              SHOPEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eracee,,,,,,,,ye huang su,,,,,,,gentle care,,,,,,,pearl eye,,,,,,,dierdre,,,,,,,maxdales,,,,,,,wanjiankang,,,,,,,vitcore,,,,,,,,
TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,BIAYA,PEMBELIAN, CPP
1,,,,,#DIV/0!,,1,,,,,#DIV/0!,,1,,,,,#DIV/0!,,1,,,,,#DIV/0!,,1,,,,,#DIV/0!,,1,TOKOHERBALCHINA,1, Rp 1.876.177 ,,#DIV/0!,,1,TOKOHERBALCHINA,1, Rp 1.184.514 ,,#DIV/0!,,1,TOKOHERBALCHINA,1, Rp 59.911 ,,#DIV/0!,,1, Rp 3.120.602 ,0,#DIV/0!
2,,,,,#DIV/0!,,2,,,,,#DIV/0!,,2,,,,,#DIV/0!,,2,,,,,#DIV/0!,,2,,,,,#DIV/0!,,2,TOKOHERBALCHINA,1, Rp 3.699.160 ,43, Rp 86.027 ,,2,TOKOHERBALCHINA,1, Rp 2.188.799 ,48, Rp 45.600 ,,2,TOKOHERBALCHINA,1, Rp 16.226 ,,#DIV/0!,,2, Rp 5.904.185 ,91, Rp 64.881 
3,,,,,#DIV/0!,,3,,,,,#DIV/0!,,3,,,,,#DIV/0!,,3,,,,,#DIV/0!,,3,,,,,#DIV/0!,,3,TOKOHERBALCHINA,1, Rp 1.557.576 ,27, Rp 57.688 ,,3,TOKOHERBALCHINA,1, Rp 1.015.465 ,22, Rp 46.158 ,,3,TOKOHERBALCHINA,1, Rp 24.100 ,,#DIV/0!,,3, Rp 2.597.141 ,75, Rp 34.629 
4,,,,,#DIV/0!,,4,,,,,#DIV/0!,,4,,,,,#DIV/0!,,4,,,,,#DIV/0!,,4,,,,,#DIV/0!,,4,TOKOHERBALCHINA,1, Rp 1.626.274 ,9, Rp 180.697 ,,4,TOKOHERBALCHINA,1, Rp 2.234.511 ,23, Rp 97.153 ,,4,TOKOHERBALCHINA,1, Rp 102.872 ,,#DIV/0!,,4, Rp 3.963.657 ,32, Rp 123.864 
5,,,,,#DIV/0!,,5,,,,,#DIV/0!,,5,,,,,#DIV/0!,,5,,,,,#DIV/0!,,5,,,,,#DIV/0!,,5,TOKOHERBALCHINA,1, Rp 1.515.040 ,15, Rp 101.003 ,,5,TOKOHERBALCHINA,1, Rp 2.157.953 ,38, Rp 56.788 ,,5,TOKOHERBALCHINA,1, Rp 64.631 ,2, Rp 32.316 ,,5, Rp 3.737.624 ,55, Rp 67.957 
6,,,,,#DIV/0!,,6,,,,,#DIV/0!,,6,,,,,#DIV/0!,,6,,,,,#DIV/0!,,6,,,,,#DIV/0!,,6,TOKOHERBALCHINA,1, Rp 1.531.263 ,8, Rp 191.408 ,,6,TOKOHERBALCHINA,1, Rp 1.778.326 ,21, Rp 84.682 ,,6,TOKOHERBALCHINA,1, Rp 43.561 ,,#DIV/0!,,6, Rp 3.353.150 ,29, Rp 115.626 
7,,,,,#DIV/0!,,7,,,,,#DIV/0!,,7,,,,,#DIV/0!,,7,,,,,#DIV/0!,,7,,,,,#DIV/0!,,7,TOKOHERBALCHINA,1, Rp 653.465 ,10, Rp 65.347 ,,7,TOKOHERBALCHINA,1, Rp 1.389.493 ,28, Rp 49.625 ,,7,TOKOHERBALCHINA,1, Rp 27.887 ,,#DIV/0!,,7, Rp 2.070.845 ,38, Rp 54.496 
8,,,,,#DIV/0!,,8,,,,,#DIV/0!,,8,,,,,#DIV/0!,,8,,,,,#DIV/0!,,8,,,,,#DIV/0!,,8,TOKOHERBALCHINA,1, Rp 804.868 ,,#DIV/0!,,8,TOKOHERBALCHINA,1, Rp 1.518.872 ,,#DIV/0!,,8,TOKOHERBALCHINA,1, Rp 18.156 ,,#DIV/0!,,8, Rp 2.341.896 ,0,#DIV/0!
9,TOKOHERBALCHINA,1, Rp 91.097 ,2, Rp 45.549 ,,9,TOKOHERBALCHINA,1, Rp 11.055 ,1, Rp 11.055 ,,9,TOKOHERBALCHINA,1, Rp 30.602 ,0,#DIV/0!,,9,TOKOHERBALCHINA,1, Rp 12.710 ,,#DIV/0!,,9,,,,,#DIV/0!,,9,TOKOHERBALCHINA,1, Rp 1.419.318 ,22, Rp 64.514 ,,9,TOKOHERBALCHINA,1, Rp 1.632.398 ,39, Rp 41.856 ,,9,TOKOHERBALCHINA,1, Rp 52.185 ,,#DIV/0!,,9, Rp 3.249.365 ,64, Rp 50.771 
